# 0336101f-16cd-49c9-8574-b20accc2589a
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -12.4540317; -2.5555194; -2.0048315; 0.2498222; 4.1155003; 0.6303669
0.9879979; -11.5589993; -2.8777418; -1.8470881; 0.1204672; 4.2641464; 0.6777890
1.9759958; -10.5747917; -3.0989558; -1.7422533; 0.0847855; 4.4183994; 0.7283317
2.9639937; -9.5900560; -3.2338602; -1.6781351; 0.0456172; 4.5783658; 0.5492059
3.9519916; -8.6135241; -3.3204872; -1.6421575; 0.0326094; 4.6953873; 0.5069943
4.9399895; -7.6131992; -3.3764341; -1.6119036; 0.0282319; 4.8008833; 0.1274667
5.9279874; -6.6184954; -3.3958190; -1.5589896; 0.0832858; 4.8270440; 0.0776806
6.9159853; -5.6366984; -3.3329907; -1.4428623; 0.1552611; 4.8429176; -1.5537227
7.9039832; -4.6152739; -3.1084357; -1.2527782; 0.2345217; 4.5148312; -1.7001371
8.8919811; -3.7564326; -2.6629725; -0.8737586; 0.5513829; 4.1260438; -1.8916872
9.8799789; -3.2244693; -1.9039867; -0.3643227; 0.5409001; 3.6450338; -0.9229717
10.8679768; -3.1107909; -0.9470273; 0.0730572; 0.3211541; 3.3856289; -0.4702845
11.8559747; -3.3673546; 0.0139830; 0.4812924; 0.5098796; 3.2454896; 0.0920811
12.8439726; -4.0084483; 0.7346331; 0.9649838; 0.4835422; 3.2734011; 0.4438583
13.8319705; -4.9197105; 1.0849550; 1.4285847; 0.3810225; 3.4047345; 0.9453070
14.8199684; -5.9101340; 1.0761974; 1.6999736; 0.1936277; 3.6688063; 1.1056619
15.8079663; -6.9033622; 0.8658477; 1.8374404; 0.0683787; 3.9553663; 1.2439959
16.7959642; -7.8516618; 0.5948959; 1.8376717; -0.0737318; 4.2547683; -0.1285189
17.7839621; -8.8458998; 0.3915180; 1.6796395; -0.2453925; 4.2248196; -0.9665118
